Timestamp,Load (kW),Price (INR/kWh),Solar (pu),Weather
2025-10-21 12:00:00,1300.2,6.36,0.033,Cloudy
2025-10-21 12:30:00,1177.58,6.25,0.085,Cloudy
2025-10-21 13:00:00,1283.84,6.4,0.061,Cloudy
2025-10-21 13:30:00,1205.52,5.98,0.08,Cloudy
2025-10-21 14:00:00,985.31,5.72,0.067,Cloudy
2025-10-21 14:30:00,935.84,5.68,0.061,Cloudy
2025-10-21 15:00:00,795.46,5.29,0.05,Cloudy
2025-10-21 15:30:00,760.68,5.6,0.071,Cloudy
2025-10-21 16:00:00,714.28,5.27,0.0,Cloudy
2025-10-21 16:30:00,696.56,5.25,0.012,Cloudy
2025-10-21 17:00:00,589.31,4.8,0.02,Cloudy
2025-10-21 17:30:00,568.99,4.71,0.018,Cloudy
2025-10-21 18:00:00,488.75,4.44,0.03,Cloudy
2025-10-21 18:30:00,495.05,4.31,0.164,Cloudy
2025-10-21 19:00:00,577.28,3.99,0.112,Cloudy
2025-10-21 19:30:00,545.71,3.77,0.099,Cloudy
2025-10-21 20:00:00,554.7,3.5,0.176,Cloudy
2025-10-21 20:30:00,592.8,3.49,0.204,Cloudy
2025-10-21 21:00:00,674.15,3.1,0.259,Cloudy
2025-10-21 21:30:00,770.12,3.47,0.285,Cloudy
2025-10-21 22:00:00,932.11,3.86,0.581,Cloudy
2025-10-21 22:30:00,979.92,4.72,0.414,Cloudy
2025-10-21 23:00:00,1055.91,5.51,0.632,Cloudy
2025-10-21 23:30:00,1088.96,6.39,0.634,Cloudy
2025-10-22 00:00:00,1318.45,6.31,0.489,Cloudy
2025-10-22 00:30:00,1341.71,6.45,0.638,Cloudy
2025-10-22 01:00:00,1265.82,6.78,0.481,Cloudy
2025-10-22 01:30:00,1034.35,6.21,0.639,Cloudy
2025-10-22 02:00:00,1027.81,5.92,0.476,Cloudy
2025-10-22 02:30:00,910.77,5.95,0.286,Cloudy
2025-10-22 03:00:00,810.96,5.26,0.316,Cloudy
2025-10-22 03:30:00,807.78,5.7,0.195,Cloudy
2025-10-22 04:00:00,755.79,5.24,0.145,Cloudy
2025-10-22 04:30:00,618.82,5.42,0.025,Cloudy
2025-10-22 05:00:00,547.12,5.04,0.0,Cloudy
2025-10-22 05:30:00,514.25,4.94,0.0,Cloudy
2025-10-22 06:00:00,472.19,4.57,0.0,Cloudy
2025-10-22 06:30:00,528.02,4.35,0.0,Cloudy
2025-10-22 07:00:00,450.41,3.89,0.0,Cloudy
2025-10-22 07:30:00,451.82,3.73,0.0,Cloudy
