Timestamp,Load (kW),Price (INR/kWh),Solar (pu),Weather
2025-10-21 12:00:00,1203.68,6.33,0.087,Rainy
2025-10-21 12:30:00,1124.63,6.46,0.037,Rainy
2025-10-21 13:00:00,1194.64,6.8,0.103,Rainy
2025-10-21 13:30:00,1162.33,6.21,0.028,Rainy
2025-10-21 14:00:00,901.3,5.75,0.066,Rainy
2025-10-21 14:30:00,844.7,6.15,0.021,Rainy
2025-10-21 15:00:00,746.54,5.38,0.0,Rainy
2025-10-21 15:30:00,729.97,5.68,0.0,Rainy
2025-10-21 16:00:00,658.16,5.26,0.0,Rainy
2025-10-21 16:30:00,584.15,5.3,0.058,Rainy
2025-10-21 17:00:00,562.0,5.24,0.083,Rainy
2025-10-21 17:30:00,548.54,5.04,0.165,Rainy
2025-10-21 18:00:00,448.6,4.75,0.182,Rainy
2025-10-21 18:30:00,507.18,4.67,0.071,Rainy
2025-10-21 19:00:00,490.93,4.26,0.113,Rainy
2025-10-21 19:30:00,509.31,3.82,0.0,Rainy
2025-10-21 20:00:00,478.17,3.36,0.087,Rainy
2025-10-21 20:30:00,564.8,3.35,0.142,Rainy
2025-10-21 21:00:00,612.25,3.46,0.057,Rainy
2025-10-21 21:30:00,780.89,3.46,0.028,Rainy
2025-10-21 22:00:00,860.5,3.99,0.205,Rainy
2025-10-21 22:30:00,856.26,4.53,0.292,Rainy
2025-10-21 23:00:00,1064.78,5.37,0.293,Rainy
2025-10-21 23:30:00,1192.58,6.26,0.273,Rainy
2025-10-22 00:00:00,1107.09,6.62,0.448,Rainy
2025-10-22 00:30:00,1313.65,6.42,0.48,Rainy
2025-10-22 01:00:00,1046.39,6.74,0.435,Rainy
2025-10-22 01:30:00,979.98,6.27,0.192,Rainy
2025-10-22 02:00:00,924.2,6.05,0.185,Rainy
2025-10-22 02:30:00,815.1,5.86,0.168,Rainy
2025-10-22 03:00:00,751.5,5.39,0.169,Rainy
2025-10-22 03:30:00,762.16,5.61,0.174,Rainy
2025-10-22 04:00:00,583.29,5.6,0.08,Rainy
2025-10-22 04:30:00,601.3,5.28,0.0,Rainy
2025-10-22 05:00:00,547.23,5.43,0.0,Rainy
2025-10-22 05:30:00,495.03,5.11,0.016,Rainy
2025-10-22 06:00:00,521.51,5.0,0.003,Rainy
2025-10-22 06:30:00,482.19,4.38,0.0,Rainy
2025-10-22 07:00:00,433.89,4.25,0.0,Rainy
2025-10-22 07:30:00,537.97,4.06,0.0,Rainy
2025-10-22 08:00:00,575.64,3.59,0.0,Rainy
2025-10-22 08:30:00,631.63,3.69,0.0,Rainy
2025-10-22 09:00:00,693.29,3.92,0.072,Rainy
2025-10-22 09:30:00,765.96,3.76,0.04,Rainy
2025-10-22 10:00:00,945.65,4.3,0.12,Rainy
2025-10-22 10:30:00,1067.14,5.16,0.007,Rainy
2025-10-22 11:00:00,1092.88,5.38,0.06,Rainy
2025-10-22 11:30:00,1209.9,6.27,0.007,Rainy
2025-10-22 12:00:00,1319.32,6.37,0.0,Rainy
2025-10-22 12:30:00,1332.74,6.48,0.016,Rainy
2025-10-22 13:00:00,1257.09,6.62,0.065,Rainy
2025-10-22 13:30:00,1209.82,6.7,0.021,Rainy
2025-10-22 14:00:00,1121.03,5.98,0.034,Rainy
2025-10-22 14:30:00,948.52,6.05,0.123,Rainy
2025-10-22 15:00:00,887.65,5.51,0.158,Rainy
2025-10-22 15:30:00,683.34,5.73,0.052,Rainy
2025-10-22 16:00:00,663.41,5.43,0.014,Rainy
2025-10-22 16:30:00,592.65,5.46,0.062,Rainy
2025-10-22 17:00:00,529.21,5.38,0.08,Rainy
2025-10-22 17:30:00,577.49,4.86,0.237,Rainy
2025-10-22 18:00:00,465.23,4.71,0.001,Rainy
2025-10-22 18:30:00,539.02,4.47,0.0,Rainy
2025-10-22 19:00:00,565.32,3.92,0.057,Rainy
2025-10-22 19:30:00,504.48,3.97,0.096,Rainy
2025-10-22 20:00:00,515.74,3.73,0.04,Rainy
2025-10-22 20:30:00,561.94,3.51,0.144,Rainy
2025-10-22 21:00:00,711.01,3.55,0.208,Rainy
2025-10-22 21:30:00,757.3,4.12,0.121,Rainy
2025-10-22 22:00:00,975.55,4.38,0.094,Rainy
2025-10-22 22:30:00,1019.92,4.99,0.202,Rainy
2025-10-22 23:00:00,1009.05,5.61,0.218,Rainy
2025-10-22 23:30:00,1138.08,6.28,0.245,Rainy
2025-10-23 00:00:00,1227.92,6.92,0.246,Rainy
2025-10-23 00:30:00,1288.84,7.0,0.096,Rainy
2025-10-23 01:00:00,1212.76,6.84,0.07,Rainy
2025-10-23 01:30:00,1157.89,6.44,0.213,Rainy
2025-10-23 02:00:00,1102.93,6.45,0.257,Rainy
2025-10-23 02:30:00,1023.48,5.88,0.248,Rainy
2025-10-23 03:00:00,809.35,5.61,0.0,Rainy
2025-10-23 03:30:00,829.88,5.33,0.024,Rainy
2025-10-23 04:00:00,765.8,5.61,0.011,Rainy
2025-10-23 04:30:00,687.67,5.38,0.206,Rainy
2025-10-23 05:00:00,557.86,4.97,0.064,Rainy
2025-10-23 05:30:00,541.99,5.43,0.146,Rainy
2025-10-23 06:00:00,577.96,5.16,0.025,Rainy
2025-10-23 06:30:00,538.32,4.42,0.0,Rainy
2025-10-23 07:00:00,537.84,4.4,0.0,Rainy
2025-10-23 07:30:00,510.01,3.91,0.0,Rainy
2025-10-23 08:00:00,565.34,3.67,0.038,Rainy
2025-10-23 08:30:00,644.22,3.49,0.0,Rainy
2025-10-23 09:00:00,722.08,3.2,0.018,Rainy
2025-10-23 09:30:00,723.96,3.56,0.0,Rainy
2025-10-23 10:00:00,933.66,3.91,0.0,Rainy
2025-10-23 10:30:00,1050.94,4.96,0.0,Rainy
2025-10-23 11:00:00,1082.08,5.4,0.065,Rainy
2025-10-23 11:30:00,1110.38,6.01,0.005,Rainy
2025-10-23 12:00:00,1091.15,6.71,0.035,Rainy
2025-10-23 12:30:00,1166.01,6.56,0.112,Rainy
2025-10-23 13:00:00,1158.56,6.19,0.169,Rainy
2025-10-23 13:30:00,1085.86,6.31,0.073,Rainy
2025-10-23 14:00:00,1029.39,5.62,0.0,Rainy
2025-10-23 14:30:00,896.78,5.44,0.0,Rainy
2025-10-23 15:00:00,743.29,5.37,0.0,Rainy
2025-10-23 15:30:00,786.0,5.83,0.078,Rainy
2025-10-23 16:00:00,618.82,5.21,0.007,Rainy
2025-10-23 16:30:00,539.43,5.51,0.0,Rainy
2025-10-23 17:00:00,523.48,5.35,0.0,Rainy
2025-10-23 17:30:00,532.63,4.85,0.0,Rainy
2025-10-23 18:00:00,457.94,5.15,0.0,Rainy
2025-10-23 18:30:00,499.39,4.51,0.088,Rainy
2025-10-23 19:00:00,438.52,4.12,0.023,Rainy
2025-10-23 19:30:00,528.29,3.73,0.017,Rainy
2025-10-23 20:00:00,525.05,3.64,0.044,Rainy
2025-10-23 20:30:00,646.1,3.19,0.0,Rainy
2025-10-23 21:00:00,607.56,3.55,0.039,Rainy
2025-10-23 21:30:00,844.67,3.72,0.102,Rainy
2025-10-23 22:00:00,772.37,4.02,0.266,Rainy
2025-10-23 22:30:00,974.62,4.75,0.252,Rainy
2025-10-23 23:00:00,925.45,5.36,0.206,Rainy
2025-10-23 23:30:00,1151.41,5.7,0.206,Rainy
2025-10-24 00:00:00,1126.36,6.63,0.192,Rainy
2025-10-24 00:30:00,1111.03,6.25,0.307,Rainy
2025-10-24 01:00:00,1052.01,6.5,0.402,Rainy
2025-10-24 01:30:00,1080.71,6.73,0.203,Rainy
2025-10-24 02:00:00,1005.86,5.88,0.465,Rainy
2025-10-24 02:30:00,864.93,5.78,0.359,Rainy
2025-10-24 03:00:00,842.03,5.36,0.227,Rainy
2025-10-24 03:30:00,712.34,5.67,0.27,Rainy
2025-10-24 04:00:00,612.07,5.59,0.263,Rainy
2025-10-24 04:30:00,525.05,5.78,0.128,Rainy
2025-10-24 05:00:00,486.73,5.16,0.119,Rainy
2025-10-24 05:30:00,528.4,4.93,0.002,Rainy
2025-10-24 06:00:00,488.83,4.61,0.033,Rainy
2025-10-24 06:30:00,474.4,4.8,0.022,Rainy
2025-10-24 07:00:00,427.02,4.29,0.0,Rainy
2025-10-24 07:30:00,448.54,3.58,0.0,Rainy
2025-10-24 08:00:00,520.8,3.48,0.066,Rainy
2025-10-24 08:30:00,589.87,3.25,0.112,Rainy
2025-10-24 09:00:00,695.87,3.29,0.008,Rainy
2025-10-24 09:30:00,754.21,3.49,0.0,Rainy
2025-10-24 10:00:00,861.59,3.86,0.028,Rainy
2025-10-24 10:30:00,912.79,4.4,0.0,Rainy
2025-10-24 11:00:00,976.88,5.47,0.0,Rainy
2025-10-24 11:30:00,1048.32,6.46,0.049,Rainy
2025-10-24 12:00:00,1182.87,6.43,0.0,Rainy
2025-10-24 12:30:00,1164.3,6.81,0.0,Rainy
2025-10-24 13:00:00,1055.08,6.63,0.0,Rainy
2025-10-24 13:30:00,1061.16,6.58,0.003,Rainy
2025-10-24 14:00:00,1023.73,5.77,0.0,Rainy
2025-10-24 14:30:00,837.39,5.71,0.0,Rainy
2025-10-24 15:00:00,844.84,5.38,0.0,Rainy
2025-10-24 15:30:00,831.31,5.46,0.0,Rainy
2025-10-24 16:00:00,663.08,5.25,0.0,Rainy
2025-10-24 16:30:00,552.19,4.95,0.0,Rainy
2025-10-24 17:00:00,588.69,5.34,0.0,Rainy
2025-10-24 17:30:00,529.02,5.18,0.0,Rainy
2025-10-24 18:00:00,514.24,4.79,0.061,Rainy
2025-10-24 18:30:00,468.6,4.33,0.048,Rainy
2025-10-24 19:00:00,496.3,4.0,0.019,Rainy
2025-10-24 19:30:00,476.81,3.86,0.0,Rainy
2025-10-24 20:00:00,582.73,3.73,0.0,Rainy
2025-10-24 20:30:00,546.63,3.44,0.077,Rainy
2025-10-24 21:00:00,629.51,3.87,0.065,Rainy
2025-10-24 21:30:00,695.78,3.94,0.195,Rainy
2025-10-24 22:00:00,881.9,4.33,0.365,Rainy
2025-10-24 22:30:00,962.89,4.75,0.319,Rainy
2025-10-24 23:00:00,1121.79,5.52,0.238,Rainy
2025-10-24 23:30:00,1018.24,6.2,0.167,Rainy
2025-10-25 00:00:00,1098.93,6.36,0.23,Rainy
2025-10-25 00:30:00,1280.28,6.61,0.203,Rainy
2025-10-25 01:00:00,1259.76,6.45,0.326,Rainy
2025-10-25 01:30:00,1056.88,6.28,0.417,Rainy
2025-10-25 02:00:00,947.85,6.29,0.327,Rainy
2025-10-25 02:30:00,941.55,5.78,0.292,Rainy
2025-10-25 03:00:00,759.09,5.84,0.285,Rainy
2025-10-25 03:30:00,711.05,5.19,0.127,Rainy
2025-10-25 04:00:00,579.14,5.04,0.071,Rainy
2025-10-25 04:30:00,595.64,5.16,0.164,Rainy
2025-10-25 05:00:00,580.99,5.38,0.186,Rainy
2025-10-25 05:30:00,561.44,5.23,0.016,Rainy
2025-10-25 06:00:00,534.64,4.97,0.002,Rainy
2025-10-25 06:30:00,488.04,4.45,0.0,Rainy
2025-10-25 07:00:00,529.75,4.24,0.0,Rainy
2025-10-25 07:30:00,502.78,3.85,0.0,Rainy
2025-10-25 08:00:00,554.76,3.61,0.0,Rainy
2025-10-25 08:30:00,589.19,3.66,0.0,Rainy
2025-10-25 09:00:00,707.07,3.69,0.0,Rainy
2025-10-25 09:30:00,664.92,3.61,0.121,Rainy
2025-10-25 10:00:00,773.91,4.1,0.002,Rainy
2025-10-25 10:30:00,1043.48,4.63,0.097,Rainy
2025-10-25 11:00:00,966.23,5.63,0.062,Rainy
2025-10-25 11:30:00,1163.65,6.16,0.0,Rainy
2025-10-25 12:00:00,1078.0,6.93,0.0,Rainy
2025-10-25 12:30:00,1038.44,6.77,0.0,Rainy
2025-10-25 13:00:00,1154.26,6.39,0.0,Rainy
2025-10-25 13:30:00,1096.68,6.68,0.0,Rainy
2025-10-25 14:00:00,1025.73,6.16,0.0,Rainy
