Timestamp,Load (kW),Price (INR/kWh),Solar (pu),Weather
2025-10-21 12:00:00,1060.21,6.64,0.0,Sunny
2025-10-21 12:30:00,1129.48,6.6,0.0,Sunny
2025-10-21 13:00:00,1074.81,6.79,0.0,Sunny
2025-10-21 13:30:00,1062.53,6.6,0.0,Sunny
2025-10-21 14:00:00,1044.14,6.05,0.0,Sunny
2025-10-21 14:30:00,926.12,6.12,0.0,Sunny
2025-10-21 15:00:00,806.96,5.91,0.017,Sunny
2025-10-21 15:30:00,756.77,5.58,0.011,Sunny
2025-10-21 16:00:00,646.09,5.43,0.018,Sunny
2025-10-21 16:30:00,563.47,5.74,0.027,Sunny
2025-10-21 17:00:00,594.04,5.44,0.076,Sunny
2025-10-21 17:30:00,495.45,5.22,0.128,Sunny
2025-10-21 18:00:00,508.73,4.91,0.21,Sunny
2025-10-21 18:30:00,444.54,4.63,0.323,Sunny
2025-10-21 19:00:00,425.33,3.99,0.424,Sunny
2025-10-21 19:30:00,443.44,4.1,0.598,Sunny
2025-10-21 20:00:00,547.88,3.54,0.776,Sunny
2025-10-21 20:30:00,595.29,3.4,0.907,Sunny
2025-10-21 21:00:00,598.19,3.18,1.0,Sunny
2025-10-21 21:30:00,734.39,3.4,1.0,Sunny
2025-10-21 22:00:00,839.11,4.02,0.998,Sunny
2025-10-21 22:30:00,913.16,5.03,0.986,Sunny
2025-10-21 23:00:00,1066.21,5.23,1.0,Sunny
2025-10-21 23:30:00,1085.4,5.74,1.0,Sunny
2025-10-22 00:00:00,1055.73,6.51,0.876,Sunny
2025-10-22 00:30:00,1169.72,7.09,0.696,Sunny
2025-10-22 01:00:00,1095.71,6.96,0.574,Sunny
2025-10-22 01:30:00,1112.23,6.84,0.411,Sunny
2025-10-22 02:00:00,964.2,6.41,0.309,Sunny
2025-10-22 02:30:00,946.19,6.15,0.198,Sunny
2025-10-22 03:00:00,803.81,5.84,0.138,Sunny
2025-10-22 03:30:00,737.32,5.69,0.098,Sunny
2025-10-22 04:00:00,586.83,5.31,0.067,Sunny
2025-10-22 04:30:00,525.74,5.38,0.048,Sunny
2025-10-22 05:00:00,540.88,5.23,0.034,Sunny
2025-10-22 05:30:00,535.75,5.21,0.049,Sunny
2025-10-22 06:00:00,532.24,4.59,0.044,Sunny
2025-10-22 06:30:00,446.48,4.58,0.037,Sunny
2025-10-22 07:00:00,469.0,4.16,0.014,Sunny
2025-10-22 07:30:00,437.47,3.77,0.046,Sunny
2025-10-22 08:00:00,525.22,3.89,0.066,Sunny
2025-10-22 08:30:00,626.56,3.57,0.041,Sunny
2025-10-22 09:00:00,694.74,3.59,0.058,Sunny
2025-10-22 09:30:00,679.5,3.85,0.039,Sunny
2025-10-22 10:00:00,875.3,4.47,0.031,Sunny
2025-10-22 10:30:00,983.51,4.87,0.028,Sunny
2025-10-22 11:00:00,1003.55,5.94,0.016,Sunny
2025-10-22 11:30:00,1194.6,5.98,0.03,Sunny
