Datetime,Load (kW),Price (INR/kWh)
2025-01-08 0:00:00,2386.1095,2.51022
2025-01-08 1:00:00,2246.7805,2.51022
2025-01-08 2:00:00,2063.86738,2.51022
2025-01-08 3:00:00,2012.11075,2.51022
2025-01-08 4:00:00,1967.75763,2.51022
2025-01-08 5:00:00,1923.76288,2.51022
2025-01-08 6:00:00,1844.0055,2.51022
2025-01-08 7:00:00,1722.87413,2.51022
2025-01-08 8:00:00,1475.77463,2.51022
2025-01-08 9:00:00,1705.53563,2.51022
2025-01-08 10:00:00,1818.49025,2.51022
2025-01-08 11:00:00,2037.7035,2.51022
2025-01-08 12:00:00,2069.2075,2.51022
2025-01-08 13:00:00,2120.79,2.51022
2025-01-08 14:00:00,2078.713,2.51022
2025-01-08 15:00:00,2104.87,2.51022
2025-01-08 16:00:00,2144.20375,2.51022
2025-01-08 17:00:00,2154.85325,2.51022
2025-01-08 18:00:00,2170.43975,2.51022
2025-01-08 19:00:00,2037.8625,2.51022
2025-01-08 20:00:00,2337.959,2.51022
2025-01-08 21:00:00,2217.53825,2.51022
2025-01-08 22:00:00,2159.32925,2.51022
2025-01-08 23:00:00,2475.301,2.51022
