Timestamp,Load (kW),Price (INR/kWh),Solar (pu),Weather
2025-10-17 12:00:00,1180.16,6.48,0.0,Cloudy
2025-10-17 12:30:00,1285.71,6.42,0.0,Cloudy
2025-10-17 13:00:00,1065.74,6.68,0.0,Cloudy
2025-10-17 13:30:00,1141.82,6.1,0.0,Cloudy
2025-10-17 14:00:00,1066.4,6.26,0.0,Cloudy
2025-10-17 14:30:00,1011.18,5.87,0.0,Cloudy
2025-10-17 15:00:00,848.34,5.49,0.0,Cloudy
2025-10-17 15:30:00,760.44,5.72,0.0,Cloudy
2025-10-17 16:00:00,679.68,5.76,0.001,Cloudy
2025-10-17 16:30:00,676.95,4.95,0.002,Cloudy
2025-10-17 17:00:00,546.07,5.1,0.005,Cloudy
2025-10-17 17:30:00,507.34,4.77,0.01,Cloudy
2025-10-17 18:00:00,480.03,4.83,0.019,Cloudy
2025-10-17 18:30:00,465.15,4.14,0.033,Cloudy
2025-10-17 19:00:00,367.52,4.16,0.053,Cloudy
2025-10-17 19:30:00,574.53,3.44,0.091,Cloudy
2025-10-17 20:00:00,616.25,3.64,0.129,Cloudy
2025-10-17 20:30:00,603.78,3.13,0.19,Cloudy
2025-10-17 21:00:00,741.19,3.67,0.259,Cloudy
2025-10-17 21:30:00,639.46,3.75,0.356,Cloudy
2025-10-17 22:00:00,978.75,4.17,0.452,Cloudy
2025-10-17 22:30:00,972.57,5.04,0.532,Cloudy
2025-10-17 23:00:00,1121.7,5.49,0.576,Cloudy
2025-10-17 23:30:00,1184.17,5.9,0.661,Cloudy
2025-10-18 00:00:00,1096.39,6.01,0.637,Cloudy
2025-10-18 00:30:00,1068.39,6.22,0.67,Cloudy
2025-10-18 01:00:00,1205.29,6.62,0.583,Cloudy
2025-10-18 01:30:00,1108.47,6.17,0.534,Cloudy
2025-10-18 02:00:00,906.31,6.01,0.446,Cloudy
2025-10-18 02:30:00,926.17,5.76,0.375,Cloudy
2025-10-18 03:00:00,740.25,5.6,0.283,Cloudy
2025-10-18 03:30:00,774.34,5.63,0.197,Cloudy
2025-10-18 04:00:00,676.1,5.1,0.129,Cloudy
2025-10-18 04:30:00,612.41,5.12,0.091,Cloudy
2025-10-18 05:00:00,592.91,5.15,0.056,Cloudy
2025-10-18 05:30:00,517.88,4.84,0.033,Cloudy
